,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
387,92,1533776963,100,-7.93,-14.42,76.83,19.48
388,75,1533772800,60,-54.81,-68.31,41.0,17.22
389,68,1533776974,45,47.32,47.38,75.25,11.77
390,88,1533776991,98,10.31,9.85,67.02,2.59
391,12,1533776962,77,73.51,80.55,50.73,19.37
392,36,1533776990,97,-34.48,-54.34,49.56,3.94
393,92,1533776963,100,-7.93,-14.42,76.83,19.48
394,12,1533776962,77,73.51,80.55,50.73,19.37
395,92,1533776978,99,11.75,11.96,70.03,0.13
396,92,1533776972,96,40.26,40.22,54.87,2.48
397,12,1533776962,77,73.51,80.55,50.73,19.37
398,36,1533776990,97,-34.48,-54.34,49.56,3.94
399,0,1533776972,86,65.4,64.7,47.76,16.58
400,12,1533776962,77,73.51,80.55,50.73,19.37
401,12,1533776962,77,73.51,80.55,50.73,19.37
402,0,1533774000,39,37.06,37.38,78.8,9.17
403,12,1533776962,77,73.51,80.55,50.73,19.37
404,36,1533776990,97,-34.48,-54.34,49.56,3.94
405,44,1533777000,92,47.7,142.03,61.21,7.96
406,75,1533772800,60,-54.81,-68.31,41.0,17.22
407,92,1533776963,100,-7.93,-14.42,76.83,19.48
408,92,1533776963,100,-7.93,-14.42,76.83,19.48
409,76,1533776976,50,47.24,47.04,75.84,12.33
410,40,1533776400,78,-3.71,-38.6,78.8,9.17
411,12,1533776962,77,73.51,80.55,50.73,19.37
412,75,1533772800,60,-54.81,-68.31,41.0,17.22
413,12,1533776962,77,73.51,80.55,50.73,19.37
414,75,1533772800,60,-54.81,-68.31,41.0,17.22
415,92,1533776963,100,-7.93,-14.42,76.83,19.48
416,76,1533776967,99,-17.73,-39.27,76.33,10.76
417,75,1533772800,60,-54.81,-68.31,41.0,17.22
418,0,1533776975,78,60.91,61.52,50.19,5.17
419,75,1533772800,60,-54.81,-68.31,41.0,17.22
420,75,1533772800,60,-54.81,-68.31,41.0,17.22
421,12,1533776962,77,73.51,80.55,50.73,19.37
422,75,1533774600,94,42.2,42.2,69.8,4.7
423,88,1533776877,95,-33.69,-53.46,53.56,11.54
424,92,1533776963,100,66.83,70.83,48.21,23.51
425,48,1533776962,89,53.68,53.66,54.96,12.44
426,92,1533776963,100,-7.93,-14.42,76.83,19.48
427,75,1533772800,60,-54.81,-68.31,41.0,17.22
428,12,1533776962,77,73.51,80.55,50.73,19.37
429,92,1533776963,100,-7.93,-14.42,76.83,19.48
430,8,1533776962,67,-46.43,-67.52,45.69,14.12
431,75,1533772800,60,-54.81,-68.31,41.0,17.22
432,75,1533772800,60,-54.81,-68.31,41.0,17.22
433,75,1533772800,60,-54.81,-68.31,41.0,17.22
434,75,1533772800,60,-54.81,-68.31,41.0,17.22
435,75,1533772800,60,-54.81,-68.31,41.0,17.22
436,75,1533772800,60,-54.81,-68.31,41.0,17.22
437,0,1533776962,45,28.42,30.79,77.28,10.87
438,92,1533776963,100,-7.93,-14.42,76.83,19.48
439,12,1533776962,77,73.51,80.55,50.73,19.37
440,75,1533772800,60,-54.81,-68.31,41.0,17.22
441,0,1533774000,49,38.35,38.32,71.6,20.8
442,92,1533776969,97,4.87,-2.24,77.46,11.54
443,92,1533776963,100,66.83,70.83,48.21,23.51
444,75,1533772800,60,-54.81,-68.31,41.0,17.22
445,75,1533772800,60,-54.81,-68.31,41.0,17.22
446,8,1533776962,67,-46.43,-67.52,45.69,14.12
447,8,1533776962,67,-46.43,-67.52,45.69,14.12
448,20,1533776982,47,46.16,39.17,74.49,16.46
449,88,1533776877,95,-33.69,-53.46,53.56,11.54
450,40,1533772800,78,31.42,31.81,80.6,8.05
451,40,1533772800,78,31.42,31.81,80.6,8.05
452,8,1533776962,67,-46.43,-67.52,45.69,14.12
453,8,1533776964,89,14.12,15.31,74.22,8.63
454,12,1533776962,77,73.51,80.55,50.73,19.37
455,92,1533776961,99,4.89,-1.75,76.02,8.75
456,88,1533776998,52,44.8,45.21,78.09,4.94
457,36,1533776990,97,-34.48,-54.34,49.56,3.94
458,75,1533772800,60,-54.81,-68.31,41.0,17.22
459,75,1533772800,60,-54.81,-68.31,41.0,17.22
460,92,1533776963,100,66.83,70.83,48.21,23.51
461,0,1533772200,44,37.03,36.63,78.8,17.22
462,75,1533772800,60,-54.81,-68.31,41.0,17.22
463,75,1533772800,60,-54.81,-68.31,41.0,17.22
464,92,1533776963,100,-7.93,-14.42,76.83,19.48
465,92,1533776963,100,-7.93,-14.42,76.83,19.48
466,92,1533776963,100,-7.93,-14.42,76.83,19.48
467,75,1533772800,60,-54.81,-68.31,41.0,17.22
468,0,1533776962,45,28.42,30.79,77.28,10.87
469,40,1533772800,88,6.37,2.43,77.0,12.75
470,12,1533776962,77,73.51,80.55,50.73,19.37
471,75,1533772800,88,-22.97,-42.02,69.8,12.75
472,40,1533772800,78,31.42,31.81,80.6,8.05
473,75,1533772800,88,-22.97,-42.02,69.8,12.75
474,75,1533772800,60,-54.81,-68.31,41.0,17.22
475,92,1533776963,100,-7.93,-14.42,76.83,19.48
476,12,1533776962,77,73.51,80.55,50.73,19.37
477,88,1533776877,95,-33.69,-53.46,53.56,11.54
478,92,1533776964,100,56.88,56.58,56.22,10.76
479,92,1533776975,98,66.56,67.8,48.34,13.33
480,8,1533776964,89,14.12,15.31,74.22,8.63
481,75,1533772800,60,-54.81,-68.31,41.0,17.22
482,76,1533776967,99,-17.73,-39.27,76.33,10.76
483,76,1533776967,99,-17.73,-39.27,76.33,10.76
